"title","location","price","area","description","listed","absoluteListedDate","dateText","url"
"Burj Khalifa | Corporate Suite | Shell and Core","Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai","45,000,000 AED",6080,"Metropolitan Premium Properties is proud to present this office within the Burj Khalifa offer breathtaking panoramic views of the city, including the Dubai skyline, the Arabian Gulf, and the surrounding landscape. Floor-to-ceiling windows provide an abundance of natural light, creating a dynamic and inspiring work environment.

Property Details and Features::
Type: Full Floor Office
Current Fitout: Shell and Core
Allocated Parking
Views: 360-degree views over Dubai
Allocated Parkings: 10

Downtown Dubai or The Dubai Downtown, is a large-scale, mixed-use complex in Dubai, United Arab Emirates. The Dubai Downtown was created by the Emaar Properties. The development is situated along Sheikh Zayed Road, across from Al Wasl's locality on the northwest. It is bounded to the south by Business Bay and to the northeast by Financial Centre Road, which separates it from Zabeel 2 and Trade Centre 2.

The Metropolitan Group is the leading real estate agency in the UAE. We speak 44+ languages, offering our local and international clients exceptional service, expert advice, and comprehensive support in property sales, purchase and rentals.","22 hours ago","2025-04-15T22:00:44.525Z",,"https://www.propertyfinder.ae/en/plp/commercial-buy/office-space-for-sale-dubai-downtown-dubai-burj-khalifa-area-burj-khalifa-14009671.html"
"Fitted | Furnished | Exceptional Office | VOT","Mazaya Business Avenue BB1, Mazaya Business Avenue, Jumeirah Lake Towers, Dubai","4,181,856 AED",3444,"CRC Property proudly presents this spacious and fully fitted out office space in Mazaya Business Avenue BB1, JLT.


DMCC License Required

* 3,444.88 Sq. ft.
* Fully Fitted & Partitioned
* Furnished
* Reception Area
* Open Space and Cabins
* Vacant on Transfer
* Panoramic Jumeirah Islands Views
* 2 Covered Parking Allocation

Building key features:

* DMCC #1 Free zone in the world
* Easy access to and from Sheikh Zayed Road
* 5 minutes' walk from DMCC Metro Station
* 24/7 high security on site
* High demand of start-ups with the perfect location centered in Dubai, UAE
* State-of-the-art recreation centres
* Six dedicated high-speed elevators
* Vast conference halls
* Visitor parking available
* Coffee shop and supermarket in the building

Permits: 7142600010, 7142600040
Please contact CRC Property for more details and to arrange a viewing.

Company Profile: CRC (Commercial Real Estate Consultants) is a real estate brokerage, an affiliate of Better homes and specializes in commercial properties. Founded by some of the most innovative thinkers in the real estate business, CRC caters to international and local clients who are seeking increased value by selling, leasing or investing in commercial property. With a team of property experts, we understand the business of commercial real estate. Our property consultants are handpicked and trained to the highest standards to professionally represent our brand and your interests. Our success, however, is defined by being so much more. We are a network of industry professionals united in a passion for real estate. We are facilitators connecting people with spaces. And most importantly, in the communities where we live and work, we are trusted insiders, advisors, and friends. We are CRC - Market leaders in commercial real estate.

Call +971 600 56 6224 or email us customercare@crcproperty.com for further details.","1 day ago","2025-04-15T20:01:11.803Z",,"https://www.propertyfinder.ae/en/plp/commercial-buy/office-space-for-sale-dubai-jumeirah-lake-towers-mazaya-business-avenue-mazaya-business-avenue-bb1-14000109.html"
"High ROI|Shell and Core|Great Location|Easy Access","I Rise Tower, Barsha Heights (Tecom), Dubai","6,426,000 AED",2379,"I-Rise Tower in Barsha Heights (Tecom) offers a range of office spaces to suit your business needs. The tower provides easy access to major roads like Sheikh Zayed Road (E11) and Al Hessa Street (D61), making it an ideal location for businesses.

Office Details:
Shell-and-Core Offices: Blank canvas with essential structural components in place.

Amenities:

24-hour security
Elevators
24-hour front desk service
On-site fitness centers: Gym-On EMS Fitness, Body Smart Wellness Club, Pure Pilates Fitness Studio
Nearby gyms: Hitzone Gym, Slim Fit Physical Fitness Club (10-minute walk)

Transportation:

3-minute walk to Al Barsha Heights bus stop (Bus 84, F31)
16-minute walk or 5-minute drive to Dubai Internet City Metro Station (Red Line)
Dining: Bench Cafe & Restaurant (5-minute walk), Syrian restaurant, and Royal Hub (Indo-Chinese) (10-minute walk)
Perfect for businesses looking for flexibility, convenience, and a modern environment. Contact us for more information!","1 day ago","2025-04-15T20:01:06.905Z",,"https://www.propertyfinder.ae/en/plp/commercial-buy/office-space-for-sale-dubai-barsha-heights-tecom-i-rise-tower-14004465.html"
"360 Degree Views | Unrivalled Location | Corporate Suite","Burj Khalifa Zone 3, Burj Khalifa Area, Downtown Dubai, Dubai","48,000,000 AED",6285,"Direct Properties is delighted to offer this amazing opportunity to purchase a luxury office in the prestigious Burj Khalifa.

This unrivalled suite comes with elegant fittings & furnishings and provides breathtaking, full 360 degree views of Dubai. Floor to ceiling windows allow so much natural light showing the property off to its maximum potential.

This prestigious building provides the perfect location for any thriving business due to its iconic stature. 

Take advantage of the world class business facilities, allowing your business to go to the next level with this stunning property.




Unique Features




* Unmatched location
* Dedicated concierge
* Quality finishes
* Breathtaking views

Direct Properties achievements are the result of 5* Reviews.

Years of dedication & committed people gathered together, it has grown due to Customer re-satisfaction and word of mouth.

Our team aims to stay ahead of the latest market trends & to anticipate the needs of our clients.

We know that customer satisfaction is the best marketing strategy and our goal is to grow our brand based on loyalty.","1 day ago","2025-04-15T20:01:01.893Z",,"https://www.propertyfinder.ae/en/plp/commercial-buy/office-space-for-sale-dubai-downtown-dubai-burj-khalifa-area-burj-khalifa-zone-3-14004940.html"
"Office Space | Great Location | Rented With Notice","Empire Heights 1, Empire Heights, Business Bay, Dubai","2,103,000 AED",1819,"Office Space | Great Location | Rented With Notice

ERMAK CAPITAL REAL ESTATE is proud to offer and present this stunning office space in Empire Heights A, Business Bay.

- 1,819,64 Sq ft
- Rented With Notice
- 2 Allocated Parking Space
- Fully Fitted
- 13 Floor
- 24/7 Security
- Dedicated Boardroom
- Wet Pantry Inside Unit
- Washroom Inside Unit
- Stunning Business Bay Views

Empire Heights A is a well-known tower in Dubai, United Arab Emirates' Business Bay neighbourhood. It is a component of the two buildings that make up the Empire Heights complex, Empire Heights A and Empire Heights B. The towers provide a variety of commercial areas for enterprises and are renowned for their contemporary architecture; supplying the ideal working environment for astute clients.

If you are interested in viewing this property, please contact us today.

ERMAK CAPITAL REAL ESTATE was founded with the vision of creating a modern real estate agency where the customer is central to everything we do. Our clearly defined values and commitment to continuous evolution make ERMAK CAPITAL REAL ESTATE a standout in the real estate industry.

Please be advised that all measurements and information are provided to the best of our knowledge. ERMAK CAPITAL REAL ESTATE L. L. C disclaims any liability for inaccuracies or discrepancies.","1 day ago","2025-04-15T20:00:55.886Z",,"https://www.propertyfinder.ae/en/plp/commercial-buy/office-space-for-sale-dubai-business-bay-empire-heights-empire-heights-1-14008461.html"
"Investment | 8 Percent NET ROI | 3 Years Contract","Bay Square Building 13, Bay Square, Business Bay, Dubai","21,484,980 AED",4774,"About this property:

This office has a modern design with a fit-out of the finest quality. It is located in Bay Square, the stand out the mixed-use community in Business Bay.

Office Features:

*8% ROI
*12 parking slots
*2 merged Offices
* Pantry
*Ready Reception
*Waiting Area
*Over 10 Spacious office cabins
*Managers room
*1 Meeting Rooms
*Workstation Area

Building Facilities:

UFC Gym in the building
Green parking for Visitors
Reserved Parking
24-hour Surveillance & Security
Assortment of Restaurants and Coffee Bars
5 Star Hotel ( DoubleTree By Hilton)
Mosque/ Prayer Room


Location Advantages:

One minute driving or ten-minute walking distance to The Dubai Mall
Easy access to the city with five exits and entrance points
fäm Properties
Contact Us - +971-44395134
Toll free: 800fam800 (800 326 800)
Email: cc@famproperties.com
Visit our website: famproperties.com","1 day ago","2025-04-15T20:00:49.897Z",,"https://www.propertyfinder.ae/en/plp/commercial-buy/office-space-for-sale-dubai-business-bay-bay-square-bay-square-building-13-14008862.html"
"FITTED AND PARTITIONED | TENANTED | DMCC","Mazaya Business Avenue BB1, Mazaya Business Avenue, Jumeirah Lake Towers, Dubai","2,100,000 AED",1771,"Office Space for sale in Mazaya Business Avenue BB1, Mazaya Business Avenue


TENANTED OFFICE FOR SALE
Close to Metro
Mid-Low Floor
Modern Fit out
Private cabins
Glass Partitioned + Open Layout
Size: 1,771 sq.ft.
Designated parking spaces


Building feature:

MAZAYA BB1 is located in MAZAYA BUSINESS AVENUE and is a 3 minute walk from DMCC metro station.
- 24-hours security desk
- High rise commercial Building
- High-speed elevators
- State-of-the-art office spaces
- Close proximity to Dubai Metro


Commute times by car:

From Fortune Executive Tower it takes roughly
21 minutes to drive to Dubai Mall
13 minutes to Palm Jumeirah
18 minutes to Burj Al Arab and
17 minutes to The Walk JBR



White and Co are the Brightest and Fastest growing Real Estate Brokerage Firm in Dubai. We specialize in both Sales and Leasing with a strong pedigree in the Off Plan Sector.

We pride ourselves on being the most experienced new player in the market with over 80 years of experience between the team and a definite emphasis on our ‘Hybrid’ ability to adapt, learn and grow.","2 days ago","2025-04-14T20:01:56.030Z",,"https://www.propertyfinder.ae/en/plp/commercial-buy/office-space-for-sale-dubai-jumeirah-lake-towers-mazaya-business-avenue-mazaya-business-avenue-bb1-13989275.html"
"Office Space | Marina Skyline | High Floor","Marina Plaza, Dubai Marina, Dubai","11,900,000 AED",3956,"Jenni from Chestertons MENA is proud to present this high-floor Office space at the heart of Dubai Marina.

Key Features:
• Size - 3956.92 sq ft
• 28-story commercial tower
• Parking Space
• Private pantry
• 24-hour security
• High-standard elevators
• Spacious car parking areas
• Retail outlets
• Close To Metro
• connected to Dubai Marina Mall

Marina Plaza is considered a Grade A Commercial Building in Dubai Marina. It is ideally located right above the only largest shopping center in that district, Dubai Marina Mall as well as next to the five star hotel, The Address Dubai Marina.

It offers Fitted office with potential long term capital gain. So, if you are looking for a unique and suitable office space or a rewarding investment in commercial property, this tower will be your great choice. With its exceptional location and a range of features including flexible floor plans, this is an opportunity that makes a wonderful business sense for you. In other words, the project has ideal business settings for companies and property investors.

With its exceptional location and a range of features, Marina Plaza presents an outstanding opportunity for businesses and property investors alike. Whether you're seeking a prime office space or a smart investment, this tower offers a compelling business proposition. For more information or to schedule a viewing, please contact us.

Company name: Chestertons MENA
RERA ORN: 11779
Address: Office 2503, Marina Plaza, Dubai Marina, P.O. Box 283361, Dubai, UAE
Office phone no: +971 4 381 0200
Primary email: dubai@chestertons.com
Website: [link not available]","2 days ago","2025-04-14T20:01:51.242Z",,"https://www.propertyfinder.ae/en/plp/commercial-buy/office-space-for-sale-dubai-dubai-marina-marina-plaza-13989345.html"
"Key Investment | Glass Partitioned | Elevate","Empire Heights 1, Empire Heights, Business Bay, Dubai","2,900,000 AED",1819,"#parking: Avail #finish: Fitted #furnished: No

- Prime Business Bay Location
- Future-Forward Investment
- Glass Partitioned
- Clean Fit-Out
- Excellent Natural Lighting
- Fully Furnished Office
- 24-Hour Security
- Close to Amenities
- 2 Dedicated Parking Spaces
- Agent: Dylan Campbell on +971585541179
- RERA BRN No.: 80527

Tenanted office in Empire Heights with glass partitions, clean fit-out, and excellent lighting. Located in prime Business Bay, this income-generating unit offers immediate rental returns. Ideal for investors seeking a high-demand, professionally finished commercial space in a strategic location. Comes with two dedicated parking spaces.

Please call Dylan Campbell on +971585541179, for more information or to arrange a viewing.

**Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.","2 days ago","2025-04-14T20:01:46.160Z",,"https://www.propertyfinder.ae/en/plp/commercial-buy/office-space-for-sale-dubai-business-bay-empire-heights-empire-heights-1-13990409.html"
"Partitioned Office for Sale in Burlington Tower","The Burlington, Business Bay, Dubai","2,300,000 AED",90094,"Office for Sale in Burlington Tower
Partitioned
Middle Floor
Size is 900.94 sqft
Rented with Legal Notice Served
With 1 Parking
Selling Price: AED 2,300,000/-

Located in the most prestigious area of Business Bay, The Burlington will showcase some of the most esteemed names in the business world.

Intelligent design concepts govern the cutting edge facilities for the business advantage.

Strategically located at the crossroads of three continents, Dubai is a city that is a glittering symbol of what a ‘business focused’ vision can achieve.

Business Bay features facilities such as towers for offices and accommodation, landscaped layout, fascinating canals and a network of roads for easy access and exit.","2 days ago","2025-04-14T20:01:40.023Z",,"https://www.propertyfinder.ae/en/plp/commercial-buy/office-space-for-sale-dubai-business-bay-the-burlington-13991032.html"
"Vacant | Furnished | 12 Parking | Burj View","Vision Tower, Business Bay, Dubai","29,670,200 AED",5934,"Vacant | Furnished | 12 Parking | Burj View

- Vacant now
- 5934 square foot
- Half floor
- Luxury brand new fit out
- Luxury furnished
- 12 parking spaces included
- Partitioned
- Meeting room
- Burj Khalifa view
- Next to metro station
- Green parking
- Retail
- Connected to Bay avenue
- 24/7 security
- Perfect for end user or investor
- Grade A building

This 5934 square foot luxury fitted, partitioned and furnished office is available immediately for sale in Vision Tower, Business Bay. The office is located a short walk from Business Bay metro station and comes with 12 dedicated parking spaces. The office has amazing views of Burj Khalifa and is turnkey ready for any occupier or investor.

Vision Tower is a Grade A building situated in the vibrant Business Bay area, offering a breathtaking 360° view of both Business Bay and the iconic Burj Khalifa. The building is easily accessible via Business Bay Metro and has ample on-site parking. It features a wide range of retail, F&B, and leisure amenities, making it an ideal location for offices.","2 days ago","2025-04-14T20:01:35.135Z",,"https://www.propertyfinder.ae/en/plp/commercial-buy/office-space-for-sale-dubai-business-bay-vision-tower-13991439.html"
"OFFICE FOR RENT//MAZAYA BUSINESS AVENUE 2//DUBAI","Mazaya Business Avenue BB2, Mazaya Business Avenue, Jumeirah Lake Towers, Dubai","3,200,000 AED",1689,"Description*
- Brand new furniture

- Fully fitted office

- 3 managers cabin

- 15 work station

- 1 pantry

- 1 big conference room

- Beautiful view of Jumeirah islands

- High floor

- Reception Area: A welcoming space to greet visitors and clients

- Brand new furniture


- Slightly negotiable.

- Available for long term .

Mazaya Business Avenue BB-2:

Mazaya Business Avenue BB-2 is a prominent 45-storey commercial tower located in the vibrant Jumeirah Lake Towers (JLT) community, directly on First Al Khail Street. As part of the distinguished Mazaya Business Avenue complex,

✅ High-Speed Elevators: Efficient and seamless access to all floors, minimizing wait times and enhancing productivity

✅ Building Infrastructure: Equipped with advanced HVAC systems, energy-efficient lighting, and high-speed internet connectivity to support modern business needs. Strategically situated in one of Dubai’s most prestigious business districts. Direct access to major roadways.","2 days ago","2025-04-14T20:01:28.160Z",,"https://www.propertyfinder.ae/en/plp/commercial-buy/office-space-for-sale-dubai-jumeirah-lake-towers-mazaya-business-avenue-mazaya-business-avenue-bb2-13991472.html"
"Office for Sale | Prime Location | Near Metro","The Regal Tower, Business Bay, Dubai","3,500,000 AED",1990,"Offered by Nouba Real Estate, this spacious office is perfectly located in the prestigious Regal Tower, Business Bay. With a generous 1990 Sq. Ft. of space, this fully fitted and furnished office is ready for immediate occupancy, offering a professional and bright environment that’s ideal for any business.

Property Features:
Size: 1990 Sq. Ft.

Fully Fitted & Furnished – Ready to move in, no additional setup needed

High Floor – Enjoy panoramic views of the city skyline

One Parking Space – Dedicated and convenient parking for your team

Bright Office – Natural light creates a comfortable and productive workspace

Bathroom & Kitchen Included – Fully equipped for your convenience

Modern Elevator System – Fast and efficient access to your office

Ample Visitor Parking – Plenty of parking for your clients and guests

Prime Location – Situated in the heart of Business Bay, surrounded by key business hubs

Close to Metro – Easy access to the metro for quick and efficient commuting

This office space is perfect for businesses looking to establish themselves in one of Dubai’s most vibrant commercial districts.

For More Details or to Schedule a Viewing:
Contact Nouba Real Estate today for more information, or to arrange a viewing. Our dedicated team is here to assist you in finding the ideal office space for your business.","2 days ago","2025-04-14T20:01:23.315Z",,"https://www.propertyfinder.ae/en/plp/commercial-buy/office-space-for-sale-dubai-business-bay-the-regal-tower-13996509.html"
